op,method,size_bytes,chunk_bytes,rand_ops,rand_block,sync,iter,seconds,MiB_per_s,checksum,path,bytes,block,MiBps
read_rand,mmap,81920000,8388608,20000,4096,none,1,0.244633507,319.355,3907919727,log/appendonly.aof,81920000,4096,319.355
read_rand,pread,81920000,8388608,20000,4096,none,1,0.145573344,536.671,3907919727,log/appendonly.aof,81920000,4096,536.671
read_rand,mmap,81920000,8388608,20000,4096,none,2,0.109854077,711.171,3965400919,log/appendonly.aof,81920000,4096,711.171
read_rand,pread,81920000,8388608,20000,4096,none,2,0.141790354,550.990,3965400919,log/appendonly.aof,81920000,4096,550.990
read_rand,mmap,81920000,8388608,20000,4096,none,3,0.105828017,738.226,3171794042,log/appendonly.aof,81920000,4096,738.226
read_rand,pread,81920000,8388608,20000,4096,none,3,0.136462107,572.503,3171794042,log/appendonly.aof,81920000,4096,572.503
read_rand,mmap,81920000,8388608,20000,4096,none,4,0.103978844,751.355,2583897992,log/appendonly.aof,81920000,4096,751.355
read_rand,pread,81920000,8388608,20000,4096,none,4,0.138392100,564.519,2583897992,log/appendonly.aof,81920000,4096,564.519
read_rand,mmap,81920000,8388608,20000,4096,none,5,0.105712914,739.030,3555807830,log/appendonly.aof,81920000,4096,739.030
read_rand,pread,81920000,8388608,20000,4096,none,5,0.149833614,521.412,3555807830,log/appendonly.aof,81920000,4096,521.412
